Date,Value,Unit
1/11/2019 0:00,"4,224",kW
1/11/2019 0:15,"4,128",kW
1/11/2019 0:30,"4,104",kW
1/11/2019 0:45,"4,032",kW
1/11/2019 1:00,"3,968",kW
1/11/2019 1:15,"3,912",kW
1/11/2019 1:30,"3,896",kW
1/11/2019 1:45,"3,904",kW
1/11/2019 2:00,"3,808",kW
1/11/2019 2:15,"3,800",kW
1/11/2019 2:30,"3,840",kW
1/11/2019 2:45,"3,800",kW
1/11/2019 3:00,"3,808",kW
1/11/2019 3:15,"3,784",kW
1/11/2019 3:30,"3,768",kW
1/11/2019 3:45,"3,824",kW
1/11/2019 4:00,"3,808",kW
1/11/2019 4:15,"3,840",kW
1/11/2019 4:30,"3,824",kW
1/11/2019 4:45,"3,808",kW
1/11/2019 5:00,"3,784",kW
1/11/2019 5:15,"4,608",kW
1/11/2019 5:30,"4,920",kW
1/11/2019 5:45,"4,928",kW
1/11/2019 6:00,"4,968",kW
1/11/2019 6:15,"5,232",kW
1/11/2019 6:30,"5,496",kW
1/11/2019 6:45,"5,568",kW
1/11/2019 7:00,"5,720",kW
1/11/2019 7:15,"5,784",kW
1/11/2019 7:30,"5,832",kW
1/11/2019 7:45,"5,888",kW
1/11/2019 8:00,"5,992",kW
1/11/2019 8:15,"6,104",kW
1/11/2019 8:30,"6,272",kW
1/11/2019 8:45,"6,344",kW
1/11/2019 9:00,"6,488",kW
1/11/2019 9:15,"6,536",kW
1/11/2019 9:30,"6,608",kW
1/11/2019 9:45,"6,712",kW
1/11/2019 10:00,"6,776",kW
1/11/2019 10:15,"6,808",kW
1/11/2019 10:30,"6,848",kW
1/11/2019 10:45,"6,792",kW
1/11/2019 11:00,"6,856",kW
1/11/2019 11:15,"6,792",kW
1/11/2019 11:30,"6,848",kW
1/11/2019 11:45,"6,808",kW
1/11/2019 12:00,"6,840",kW
1/11/2019 12:15,"6,872",kW
1/11/2019 12:30,"6,920",kW
1/11/2019 12:45,"6,920",kW
1/11/2019 13:00,"6,984",kW
1/11/2019 13:15,"6,928",kW
1/11/2019 13:30,"6,912",kW
1/11/2019 13:45,"6,888",kW
1/11/2019 14:00,"6,920",kW
1/11/2019 14:15,"6,904",kW
1/11/2019 14:30,"6,896",kW
1/11/2019 14:45,"6,864",kW
1/11/2019 15:00,"6,856",kW
1/11/2019 15:15,"6,816",kW
1/11/2019 15:30,"6,744",kW
1/11/2019 15:45,"6,744",kW
1/11/2019 16:00,"6,736",kW
1/11/2019 16:15,"6,624",kW
1/11/2019 16:30,"6,624",kW
1/11/2019 16:45,"6,560",kW
1/11/2019 17:00,"6,560",kW
1/11/2019 17:15,"6,512",kW
1/11/2019 17:30,"6,480",kW
1/11/2019 17:45,"6,328",kW
1/11/2019 18:00,"6,304",kW
1/11/2019 18:15,"5,256",kW
1/11/2019 18:30,"5,152",kW
1/11/2019 18:45,"5,104",kW
1/11/2019 19:00,"5,048",kW
1/11/2019 19:15,"4,952",kW
1/11/2019 19:30,"4,848",kW
1/11/2019 19:45,"4,952",kW
1/11/2019 20:00,"4,928",kW
1/11/2019 20:15,"4,824",kW
1/11/2019 20:30,"4,784",kW
1/11/2019 20:45,"4,776",kW
1/11/2019 21:00,"4,728",kW
1/11/2019 21:15,"4,680",kW
1/11/2019 21:30,"4,672",kW
1/11/2019 21:45,"4,672",kW
1/11/2019 22:00,"4,624",kW
1/11/2019 22:15,"4,552",kW
1/11/2019 22:30,"4,480",kW
1/11/2019 22:45,"4,456",kW
1/11/2019 23:00,"4,408",kW
1/11/2019 23:15,"4,400",kW
1/11/2019 23:30,"4,312",kW
