Product: Daily Heating Degree Days
Regions: CPC::Regions::StatesCONUS
Weights: Population
Region|20210101|20210102|20210103|20210104|20210105|20210106|20210107|20210108|20210109|20210110|20210111|20210112|20210113|20210114|20210115|20210116|20210117|20210118|20210119|20210120|20210121|20210122
AL|1|13|19|20|19|23|22|24|29|29|27|27|28|22|19|24|22|22|21|17|15|-9999
AR|25|27|23|21|21|25|27|28|30|34|31|29|26|21|26|25|24|22|20|24|21|-9999
AZ|21|21|20|17|15|15|15|15|19|20|20|19|19|14|8|9|9|13|14|11|12|-9999
CA|17|17|16|15|15|15|14|14|15|15|14|14|10|6|5|4|4|7|14|11|12|-9999
CO|39|38|36|31|31|36|37|37|43|40|42|38|30|35|36|34|32|34|39|33|32|-9999
CT|33|26|33|30|32|31|31|34|36|33|38|35|34|30|29|25|27|27|32|32|38|-9999
DE|28|20|25|26|26|25|27|32|30|28|32|30|29|26|24|22|25|26|27|28|30|-9999
FL|0|0|1|6|8|9|5|5|12|14|6|4|8|8|6|9|12|8|9|6|4|-9999
GA|6|6|16|20|19|22|25|25|27|27|26|22|24|22|21|27|25|23|21|18|18|-9999
IA|45|48|47|40|40|40|37|38|41|40|35|34|32|32|34|36|39|40|39|42|38|-9999
ID|36|34|30|32|31|35|34|35|37|39|39|37|29|34|37|36|34|34|38|39|38|-9999
IL|38|36|35|37|35|35|34|34|36|39|39|35|32|31|31|33|35|36|38|40|34|-9999
IN|32|32|32|31|33|32|31|34|36|40|40|34|30|28|29|35|34|35|34|37|29|-9999
KS|37|33|31|27|26|28|30|32|36|35|30|26|23|24|31|31|29|27|29|27|25|-9999
KY|16|23|26|26|28|30|30|32|34|34|36|34|30|25|27|32|30|29|24|29|26|-9999
LA|11|18|19|12|13|14|14|20|26|28|27|25|20|15|17|20|19|17|11|9|5|-9999
MA|34|28|34|31|32|31|30|34|37|33|38|35|32|31|28|23|27|26|33|33|39|-9999
MD|30|21|27|28|27|26|27|32|29|28|32|30|29|26|25|25|26|28|25|29|28|-9999
ME|40|39|42|39|37|36|36|39|41|38|43|40|36|34|32|32|30|32|44|43|50|-9999
MI|40|35|33|34|33|31|32|38|38|40|38|36|30|29|29|35|33|35|37|41|33|-9999
MN|49|46|43|38|44|42|43|46|47|42|38|38|36|37|34|39|44|47|53|47|41|-9999
MO|38|37|36|32|29|30|31|33|36|37|34|28|26|26|32|32|32|31|31|30|27|-9999
MS|7|20|21|17|17|19|20|25|27|29|30|27|24|18|21|23|21|20|18|15|12|-9999
MT|34|33|29|33|33|31|34|35|40|39|37|32|26|35|38|37|34|35|38|37|39|-9999
NC|16|13|13|20|24|25|28|29|26|27|29|21|24|22|24|27|27|25|23|21|23|-9999
ND|43|39|35|34|41|38|39|38|38|39|39|35|31|34|39|41|41|45|45|41|42|-9999
NE|43|41|38|33|32|32|32|35|36|34|30|27|23|26|34|35|32|32|33|28|30|-9999
NH|37|34|39|35|36|35|35|38|41|37|43|39|36|35|32|29|30|31|40|38|46|-9999
NJ|32|25|30|28|28|28|30|34|34|32|35|32|32|27|28|25|27|27|29|31|34|-9999
NM|35|33|29|26|25|28|28|27|32|37|37|35|29|25|25|26|24|24|30|28|24|-9999
NV|26|27|24|22|22|23|24|23|25|26|26|26|19|17|15|15|16|19|23|22|22|-9999
NY|34|28|33|31|31|32|33|38|39|36|38|35|34|30|30|28|29|30|33|34|38|-9999
OH|28|27|28|30|32|31|31|34|34|35|37|38|30|27|26|34|32|34|32|35|30|-9999
OK|33|28|25|22|21|26|26|29|33|35|30|28|24|24|26|27|25|22|24|29|24|-9999
OR|22|24|21|21|24|25|23|25|28|25|23|18|18|20|21|21|21|25|25|26|25|-9999
PA|34|28|31|30|30|30|30|36|34|33|35|35|32|28|28|29|30|31|30|33|35|-9999
RI|32|25|32|29|32|29|29|32|35|31|36|32|31|28|25|21|26|25|31|31|37|-9999
SC|10|8|9|17|18|23|25|28|23|26|26|20|24|20|21|25|26|23|21|17|17|-9999
SD|42|41|39|35|36|34|35|37|37|34|34|31|28|31|37|38|35|37|39|34|36|-9999
TN|12|18|23|25|26|28|30|31|33|31|34|31|30|26|26|30|26|25|23|27|27|-9999
TX|23|19|15|10|11|9|16|21|25|26|26|26|19|14|18|18|16|12|9|13|9|-9999
UT|41|41|40|36|36|39|38|38|40|43|44|41|34|35|34|34|32|35|37|37|36|-9999
VA|25|18|22|26|26|26|29|30|29|27|32|27|27|25|27|29|27|28|26|27|27|-9999
VT|39|36|38|35|36|38|41|42|45|42|46|40|37|34|35|33|34|36|46|43|49|-9999
WA|22|22|24|24|26|24|26|26|29|26|24|19|21|25|24|28|25|26|29|29|27|-9999
WI|45|43|41|40|39|40|39|38|40|43|40|39|35|35|32|32|36|40|44|46|39|-9999
WV|23|22|25|29|31|32|32|33|34|34|35|33|31|29|30|35|33|33|29|32|32|-9999
WY|41|42|39|35|35|40|41|40|44|44|43|39|30|41|39|39|36|39|43|39|39|-9999
